x,y,z
0.0,0.0,0.0
1.0,0.0,0.0
1.0,1.0,0.0
0.0,1.0,0.0
0.48,0.41,0.0
0.38,0.31,0.0
0.28,0.41,0.0
0.38,0.51,0.0
0.05,0.0,0.0
0.1,0.0,0.0
0.15,0.0,0.0
0.2,0.0,0.0
0.25,0.0,0.0
0.3,0.0,0.0
0.35,0.0,0.0
0.4,0.0,0.0
0.45,0.0,0.0
0.5,0.0,0.0
0.55,0.0,0.0
0.6,0.0,0.0
0.65,0.0,0.0
0.7,0.0,0.0
0.75,0.0,0.0
0.8,0.0,0.0
0.85,0.0,0.0
0.9,0.0,0.0
0.95,0.0,0.0
1.0,0.05,0.0
1.0,0.1,0.0
1.0,0.15,0.0
1.0,0.2,0.0
1.0,0.25,0.0
1.0,0.3,0.0
1.0,0.35,0.0
1.0,0.4,0.0
1.0,0.45,0.0
1.0,0.5,0.0
1.0,0.55,0.0
1.0,0.6,0.0
1.0,0.65,0.0
1.0,0.7,0.0
1.0,0.75,0.0
1.0,0.8,0.0
1.0,0.85,0.0
1.0,0.9,0.0
1.0,0.95,0.0
0.95,1.0,0.0
0.9,1.0,0.0
0.85,1.0,0.0
0.8,1.0,0.0
0.75,1.0,0.0
0.7,1.0,0.0
0.65,1.0,0.0
0.6,1.0,0.0
0.55,1.0,0.0
0.5,1.0,0.0
0.45,1.0,0.0
0.4,1.0,0.0
0.35,1.0,0.0
0.3,1.0,0.0
0.25,1.0,0.0
0.2,1.0,0.0
0.15,1.0,0.0
0.1,1.0,0.0
0.05,1.0,0.0
0.0,0.95,0.0
0.0,0.9,0.0
0.0,0.85,0.0
0.0,0.8,0.0
0.0,0.75,0.0
0.0,0.7,0.0
0.0,0.65,0.0
0.0,0.6,0.0
0.0,0.55,0.0
0.0,0.5,0.0
0.0,0.45,0.0
0.0,0.4,0.0
0.0,0.35,0.0
0.0,0.3,0.0
0.0,0.25,0.0
0.0,0.2,0.0
0.0,0.15,0.0
0.0,0.1,0.0
0.0,0.05,0.0
0.47952,0.4002,0.0
0.47808,0.39049,0.0
0.47569,0.38097,0.0
0.47239,0.37173,0.0
0.46819,0.36286,0.0
0.46315,0.35444,0.0
0.4573,0.34656,0.0
0.45071,0.33929,0.0
0.44344,0.3327,0.0
0.43556,0.32685,0.0
0.42714,0.32181,0.0
0.41827,0.31761,0.0
0.40903,0.31431,0.0
0.39951,0.31192,0.0
0.3898,0.31048,0.0
0.3702,0.31048,0.0
0.36049,0.31192,0.0
0.35097,0.31431,0.0
0.34173,0.31761,0.0
0.33286,0.32181,0.0
0.32444,0.32685,0.0
0.31656,0.3327,0.0
0.30929,0.33929,0.0
0.3027,0.34656,0.0
0.29685,0.35444,0.0
0.29181,0.36286,0.0
0.28761,0.37173,0.0
0.28431,0.38097,0.0
0.28192,0.39049,0.0
0.28048,0.4002,0.0
0.28048,0.4198,0.0
0.28192,0.42951,0.0
0.28431,0.43903,0.0
0.28761,0.44827,0.0
0.29181,0.45714,0.0
0.29685,0.46556,0.0
0.3027,0.47344,0.0
0.30929,0.48071,0.0
0.31656,0.4873,0.0
0.32444,0.49315,0.0
0.33286,0.49819,0.0
0.34173,0.50239,0.0
0.35097,0.50569,0.0
0.36049,0.50808,0.0
0.3702,0.50952,0.0
0.3898,0.50952,0.0
0.39951,0.50808,0.0
0.40903,0.50569,0.0
0.41827,0.50239,0.0
0.42714,0.49819,0.0
0.43556,0.49315,0.0
0.44344,0.4873,0.0
0.45071,0.48071,0.0
0.4573,0.47344,0.0
0.46315,0.46556,0.0
0.46819,0.45714,0.0
0.47239,0.44827,0.0
0.47569,0.43903,0.0
0.47808,0.42951,0.0
0.47952,0.4198,0.0
0.95802,0.67571,0.0
0.625,0.9567,0.0
0.95723,0.27393,0.0
0.96213,0.52523,0.0
0.27603,0.95814,0.0
0.47289,0.95337,0.0
0.675,0.0433,0.0
0.03974,0.67518,0.0
0.22963,0.04247,0.0
0.0376,0.22175,0.0
0.52254,0.04641,0.0
0.77236,0.95853,0.0
0.37816,0.03788,0.0
0.0415,0.52475,0.0
0.0433,0.375,0.0
0.04355,0.8275,0.0
0.8222,0.03974,0.0
0.95805,0.822,0.0
0.37608,0.95414,0.0
0.17737,0.95739,0.0
0.96027,0.4227,0.0
0.95727,0.17604,0.0
0.04021,0.12748,0.0
0.875,0.9567,0.0
0.12564,0.04289,0.0
0.04593,0.92528,0.0
0.92485,0.03738,0.0
0.9567,0.925,0.0
0.32425,0.95796,0.0
0.29959,0.91774,0.0
0.25445,0.9175,0.0
0.27805,0.87876,0.0
0.32018,0.88026,0.0
0.30072,0.84421,0.0
0.33923,0.84484,0.0
0.32125,0.81203,0.0
0.35737,0.81224,0.0
0.34042,0.78126,0.0
0.3744,0.78217,0.0
0.35883,0.75363,0.0
0.38992,0.75409,0.0
0.37544,0.72789,0.0
0.40426,0.72792,0.0
0.38403,0.51848,0.0
0.346,0.72645,0.0
0.39091,0.70355,0.0
0.41839,0.70369,0.0
0.43264,0.7277,0.0
0.44635,0.70327,0.0
0.46124,0.72752,0.0
0.47464,0.70245,0.0
0.46016,0.67911,0.0
0.48776,0.67812,0.0
0.42634,0.50797,0.0
0.50268,0.70133,0.0
0.51603,0.67632,0.0
0.53182,0.70048,0.0
0.5453,0.67419,0.0
0.56195,0.69965,0.0
0.57587,0.67217,0.0
0.5566,0.64399,0.0
0.45262,0.49063,0.0
0.58926,0.64394,0.0
0.60716,0.67009,0.0
0.62083,0.64158,0.0
0.60243,0.61575,0.0
0.6335,0.61315,0.0
0.61623,0.58805,0.0
0.47293,0.46596,0.0
0.64586,0.58541,0.0
0.62863,0.56147,0.0
0.65783,0.55822,0.0
0.64089,0.53476,0.0
0.63962,0.66814,0.0
0.66844,0.53118,0.0
0.65305,0.50957,0.0
0.48503,0.43677,0.0
0.68088,0.50444,0.0
0.65889,0.48161,0.0
0.67417,0.582,0.0
0.69331,0.47801,0.0
0.67659,0.45307,0.0
0.47326,0.6558,0.0
0.70726,0.4516,0.0
0.68955,0.4253,0.0
0.65402,0.42582,0.0
0.48813,0.40425,0.0
0.67042,0.39828,0.0
0.70238,0.39612,0.0
0.68323,0.37111,0.0
0.65348,0.37283,0.0
0.66444,0.34665,0.0
0.63546,0.34979,0.0
0.47797,0.36366,0.0
0.6458,0.32325,0.0
0.67558,0.31856,0.0
0.59628,0.56194,0.0
0.6179,0.32632,0.0
0.6276,0.30063,0.0
0.60048,0.30354,0.0
0.61017,0.27805,0.0
0.58176,0.28147,0.0
0.45984,0.33762,0.0
0.70524,0.50601,0.0
0.28436,0.80989,0.0
0.54869,0.72641,0.0
0.59231,0.25583,0.0
0.56363,0.25889,0.0
0.62109,0.25015,0.0
0.36396,0.51721,0.0
0.40597,0.51618,0.0
0.48532,0.38364,0.0
0.44456,0.32295,0.0
0.61128,0.3513,0.0
0.57376,0.23266,0.0
0.54562,0.23685,0.0
0.57436,0.30888,0.0
0.53826,0.26129,0.0
0.51774,0.24413,0.0
0.52448,0.21555,0.0
0.4992,0.22178,0.0
0.41669,0.30671,0.0
0.44756,0.6565,0.0
0.46002,0.63491,0.0
0.43695,0.63503,0.0
0.44776,0.61572,0.0
0.42664,0.61582,0.0
0.43615,0.59766,0.0
0.45614,0.59695,0.0
0.41685,0.59816,0.0
0.40672,0.61536,0.0
0.397,0.59813,0.0
0.38716,0.61482,0.0
0.37757,0.598,0.0
0.36774,0.61464,0.0
0.35844,0.59769,0.0
0.34804,0.61451,0.0
0.33841,0.59701,0.0
0.32751,0.61458,0.0
0.31704,0.5959,0.0
0.3058,0.61465,0.0
0.29484,0.59488,0.0
0.28318,0.61466,0.0
0.2708,0.59289,0.0
0.30712,0.4903,0.0
0.25825,0.61583,0.0
0.24504,0.59143,0.0
0.33349,0.50784,0.0
0.23162,0.61539,0.0
0.24556,0.64051,0.0
0.21927,0.59019,0.0
0.27763,0.44663,0.0
0.27279,0.4259,0.0
0.28691,0.4656,0.0
0.23242,0.56682,0.0
0.21639,0.64024,0.0
0.20599,0.56561,0.0
0.21983,0.5428,0.0
0.44607,0.58063,0.0
0.46464,0.57985,0.0
0.39207,0.81126,0.0
0.19295,0.54154,0.0
0.20895,0.51545,0.0
0.17652,0.56867,0.0
0.23165,0.66686,0.0
0.62454,0.51242,0.0
0.18072,0.51699,0.0
0.19438,0.49275,0.0
0.16793,0.49369,0.0
0.18235,0.4694,0.0
0.2842,0.5739,0.0
0.19918,0.66701,0.0
0.49051,0.24556,0.0
0.47466,0.22628,0.0
0.48155,0.20124,0.0
0.45597,0.20698,0.0
0.46346,0.18108,0.0
0.43642,0.18779,0.0
0.38532,0.30175,0.0
0.42981,0.21767,0.0
0.41047,0.1959,0.0
0.40316,0.22046,0.0
0.38593,0.20293,0.0
0.35336,0.30502,0.0
0.37992,0.22587,0.0
0.36297,0.20988,0.0
0.35818,0.2348,0.0
0.34082,0.21632,0.0
0.33486,0.23784,0.0
0.31777,0.2226,0.0
0.32392,0.31649,0.0
0.3239,0.19879,0.0
0.30108,0.20584,0.0
0.29465,0.23018,0.0
0.28674,0.35411,0.0
0.27857,0.21174,0.0
